亿赛通,绿盟子公司（外包），低人一等，面试绿盟签的亿赛通，2023都被打穿了，还好没上市。,亿赛通内部斗争很厉害,,洞为啥这么多，有懂哥知道内幕吗,,,已经业务合并到绿盟了，亿赛通撤了,,,,,,,,,,,,,,,,,,,
蓝盾科技,产品贴牌，面试套路别人信息，然后钓着你不发offer。不是倒闭了么,等等我大专好像叫蓝盾网络空间安全学院的,,怎么有人删东西啊,,,要是能禁止删除权限只给添加就好了  HR们showshowway,,,哪些狗叼破防了，在删帖子,,,,,,,,,,,,,,,,
准达,工资是真的低，黑死人,准达护网出了名的工资低啊,"我意思这种垃圾外包公司 就别写上来了。老子本来原厂的时候 天天骚扰老子让我去驻场 我boss都写了不去外包还疯狂发消息

垃圾外包公司 就别写上来了。老子本来原厂的时候 天天骚扰老子让我去驻场 我boss都写了不去外包还疯狂发消息

我意思这种垃圾外包公司 就别写上来了。老子本来原厂的时候 天天骚扰老子让我去驻场 我boss都写了不去外包还疯狂发消息

垃圾外包公司 就别写上来了。老子本来原厂的时候 天天骚扰老子让我去驻场 我boss都写了不去外包还疯狂发消息",合同都是坑，推不进去还不让跑,一个人头吃四千，还不包住，帮别人打工，下头,,"准达外包工资特别低

纯纯傻逼公司 老子BOSS写了不去外包 还逼逼赖赖 脑残公司
",还记得去年hw，准达hr团子（微信名），不给我说薪资，不给我说时间，不给我说地点，就直接让我签合同，还说给姐一个面子,,确实给的低 结款快成了唯一优点,,,,,,,,,,,,,,,,
九州,hw结工资准时的,应该是算个不坑人的外包，hw，重保价格比外面高四五百,,hvv结款准时!,,,,,,,,,,,,,,,,,,,,,,
万码奔腾,我朋友去年工资今年结的,hvv钱还没给我呢！,垃圾,都护网了还想要工资？别不知好歹,,,,,,,,,,,,,,,,,,,,,,
金睛云华,all in AI是真的吗？,是真的，离职那时候团队氛围都挺不错的。,,,,,,,,,,,,,,,,,,,,,,,,
重庆暗护者,打bc，拖欠工资，老板开A8，没钱发工资 ，开到成都去，成都兄弟必坑,,,,,,,,,,,,,,,,,,,,,,,,,
观安,裁了某条整条产品线，换了三四个人的团队进来,主要是做数据安全的公司，主力产品是数据安全产品,,年后三月辞职不给年终奖哦,,,下三滥无底线，用劳务派遣坑员工，裁员不想给钱，还想往回要。办公室上面挂着“不离不弃”，有变化就给员工踢走,"观安就是那么的迷人

没啥机会转正。",没啥机会转正，刚走了一个同事。,,,,,,,,,,,,,,,,,
华为,众所周知，华为只卖防火墙,华为非实习技术基本上都是OD岗，很累,od岗安全测试待遇还是可以,听说云核跟车都在招人，待遇好像还行,,,,,,,,,,,,,,,,,,,,,,
钟安,zhongan.fun 创业公司,,,,,,,,,,,,,,,,,,,,,,,,,
中科全安,垃圾公司，加班到死，极其压榨员工，整个一半多实习生，绩效低的离谱，工资推迟发放从来不出公告，设备垃圾，隔三差五出问题,真的避雷了，恶心死,面试直接做ctf  100道 ,喜欢拉实习生去当hw舔狗，12小时给你半天调休，绩效喜欢翻倍涨，工资你别想涨一毛钱，绩效动不动几个月不发，实打实的好公司,,,,,,,,,,,,,,,,,,,,,,
永信至诚,听说很吊，有没有大佬细🔒,"我看他们股票跌了哟

去年hw钱，现在还没结，不知道啥情况",,去年护网的钱还没结呢,,,当裁判的感觉没靠山不可能 而且靠山还不小 比赛就是我们办的要啥靠山 好的yxzcnb,会发朋友圈就行,至今没认全产线,娜娜好美,,,,,,,,,,,,,,,,
山东鼎夏,工资只发70%，过年要赔钱给公司，克扣员工工资，克扣外包工资，,纯狗史,一点钱不给你拖个几个月，都不叫鼎下🐶,黑奴工厂,,,,,,,,,,,,,,,,,,,,,,
山东云天,懂得都懂,细说,,,,,,,,,,,,,,,,,,,,,,,,
亚信安全,懂得都懂,不懂 细嗦， 不懂细说,跳槽的兄弟不要面亚信 贼坑人,"我们这一堆亚信跳过来的

卡试用期转正，垃圾公司，来了还不给你转正就把你裁了",,,亚信老是卡试用期。领导一天三个点子,试用期不给你转正，无条件让你离职，没有赔偿，来了就等着毁简历吧,产品难用的要死,,,,,,,,,,,,,,,,,
长亭,去年国护的钱还有30%没结/hw价格可以,卷王的天堂,去年hvv钱一分没结,RNM 结钱！谁接长亭项目谁倒霉,听说内部福利还行，这两年在走下坡路,,大专行吗[狗头]内推有黑丝？？？,实习工资高，大佬多，氛围还不错，技术能力强,,,,,,,,,,,,,,,,,
矢安科技,氛围很好，真心不错。福利待遇很好,产品不错，但是待遇不知道,里面有小丑🤡,<+1 演点好的,,,有黑丝？？？,谁删了,倒不是广告 前段时间面了实习有事没去 面试官hr都很年轻好沟通，大厂出来的。工资也不错,,,,,,,,,,,,,,,,,
华讯云科,就是没钱,确实,,,,,,,,,,,,,,,,,,,,,,,,
火绒安全,小公司，人少开不多，日常加班但设备好，都是华硕苹果的,就会杀webshell，主防和反病毒还不如我自己去拿md5对比,"团队氛围融洽，可以跟 CTO 对线，
能学到很多东西。适合实习。",搞那么好 安全人还怎么吃饭？,"说杀 websehll 的，我只能说你完全
不懂火绒的查杀逻辑，webshell 查杀效果其实一般。因为这里没什么新技术。",,众所周知火绒可以用来清垃圾,,,,,,,,,,,,,,,,,,,
冬瓜,"有信用，项目都结了，蛮不错的
",三轮面试，恶心一批,,一般是项目结束以后结款吗 师傅 或者说是项目结束以后多久结款,,,,,,,,,,,,,,,,,,,,,,
赛博鼎讯,1,,,,,,,,,,,,,,,,,,,,,,,,,
北信源,设备真他妈难用,,,,,,,,,,,,,,,,,,,,,,,,,
中科国昱,产品狗都不用，好用的都是贴牌，老板还爱画饼，克扣员工工资，员工借钱给他上班,,,,,,,,,,,,,,,,,,,,,,,,,
恒安嘉新,说话啊！！！你们说话啊！,说话啊哥哥们！,HVV前公开过cnvd的漏洞，某人提交的时候是选择不公开,,,,,,,,,,,,,,,,,,,,,,,
龙信,小公司福利好,,,,,,,,,,,,,,,,,,,,,,,,,
弘连,实战一坨屎，比赛神中神,,,,,,,,,,,,,,,,,,,,,,,,,
美亚柏科,设备死贵，功能不详，还内供，还不如找给安全公司取证,国投的专属外包罢了,,,,,,,,,,,,,,,,,,,,,,,,
赛尔网络,专门搞教育网的,只听过赛尔号😁,我怎么弹计算器了，你们这群大黑客,狗都嫌弃，帕鲁来了都流泪,安服当售前用，售前当销售用,,我们山东的boos直聘上看过,快跑，一个人当8个用,,,,,,,,,,,,,,,,,,
御风安全,沉睡的雄狮,<o_0尊嘟假嘟,<<<<<应该是老板自己写的,,,,,,,,,,,,,,,,,,,,,,,
华三,设备一般,,,,,,,,,,,,,,,,,,,,,,,,,
